SS;Num;Penal Total;Nome SS;NomePiloto;QtdeRegistros;PCCodigo(Interno Totem)
02;0201;00:02:00;SS2   Pe Bern - Cavalc;Bruno Leao Sperancini;28;19
02;0202;00:07:00;SS2   Pe Bern - Cavalc;Gabriel Scaburi Marques Varela;28;19
02;0203;07:35:00;SS2   Pe Bern - Cavalc;Bruno Scaburi Marques Varela;28;19
02;0205;00:08:00;SS2   Pe Bern - Cavalc;Vinicius Barbalho Mota;28;19
02;0206;00:09:00;SS2   Pe Bern - Cavalc;Rodrigo Scaburi Marques Varela;28;19
02;0207;00:28:00;SS2   Pe Bern - Cavalc;Jose Jorge de Barros Sawaya;28;19
02;0209;05:44:00;SS2   Pe Bern - Cavalc;Adriano Jose Benvenutti;28;19
02;0210;00:04:00;SS2   Pe Bern - Cavalc;Leandro Torres;28;19
02;0211;07:27:00;SS2   Pe Bern - Cavalc;Euclides Benvenuti Junior;28;19
02;0212;00:07:00;SS2   Pe Bern - Cavalc;Denisio Nascimento;28;19
02;0213;00:09:00;SS2   Pe Bern - Cavalc;Gustavo Grossi Lapertosa;28;19
02;0214;02:00:00;SS2   Pe Bern - Cavalc;Marcelo Tiglia Gastaldi;28;19
02;0215;00:14:00;SS2   Pe Bern - Cavalc;Vinicius Gomes da Silva;28;19
02;0216;00:02:00;SS2   Pe Bern - Cavalc;Carlos Eduardo Andreoni Amb;28;19
02;0217;03:57:00;SS2   Pe Bern - Cavalc;Evandro Donatto;28;19
02;0218;00:03:00;SS2   Pe Bern - Cavalc;Denisio Casarini Filho;28;19
02;0219;00:43:27;SS2   Pe Bern - Cavalc;Dalger Junqueira Junior;28;19
02;0221;00:19:24;SS2   Pe Bern - Cavalc;Dener Jorge Pires;28;19
02;0222;02:25:00;SS2   Pe Bern - Cavalc;Daniel Luiz Guerra Costa;28;19
02;0223;00:08:45;SS2   Pe Bern - Cavalc;Dimas de Melo Pimenta III;28;19
02;0225;00:10:00;SS2   Pe Bern - Cavalc;Cristiano de Sousa Batista;28;19
02;0227;07:35:00;SS2   Pe Bern - Cavalc;Andre Pinheiro da Costa;28;19
02;0228;00:04:00;SS2   Pe Bern - Cavalc;Rodrigo Faiad;28;19
02;0229;00:08:00;SS2   Pe Bern - Cavalc;Gabriel de Paula;28;19
02;0230;00:17:00;SS2   Pe Bern - Cavalc;Pedro Luis Ferreira Queirolo;28;19
02;0231;00:31:00;SS2   Pe Bern - Cavalc;Enrico Amarante Almeida;28;19
02;0232;07:35:00;SS2   Pe Bern - Cavalc;Eduardo Domingues;28;19
02;0233;00:28:00;SS2   Pe Bern - Cavalc;Osman Guida Didi;28;19

