1;301;14:53:41.56
1;303;0:00:00.00
1;308;14:46:34.57
1;310;0:00:00.00
1;311;14:53:00.81
1;312;0:00:00.00
1;314;15:07:36.40
1;317;15:17:29.54
1;319;0:00:00.00
1;321;15:13:06.91
1;322;15:01:07.07
1;323;0:00:00.00
1;327;16:00:48.69
1;330;15:35:22.62
1;331;15:25:54.31
1;335;15:28:34.42
1;337;15:23:01.06
1;338;0:00:00.00
1;339;15:46:15.79
1;340;15:57:44.16
1;341;15:28:46.17
1;342;15:40:36.00
1;347;15:49:57.21
1;348;15:20:39.13
1;350;0:00:00.00
1;351;0:00:00.00
1;352;0:00:00.00

1;301;14:53:41.56
1;303;0:00:00.00
1;308;14:46:34.57
1;310;0:00:00.00
1;311;14:53:00.81
1;312;0:00:00.00
1;314;15:07:36.40
1;317;15:17:29.54
1;319;0:00:00.00
1;321;15:13:06.91
1;322;15:01:07.07
1;323;0:00:00.00
1;327;16:00:48.69
1;330;15:35:22.62
1;331;15:25:54.31
1;335;15:28:34.42
1;337;15:23:01.06
1;338;0:00:00.00
1;339;15:46:15.79
1;340;15:57:44.16
1;341;15:28:46.17
1;342;15:40:36.00
1;347;15:49:57.21
1;348;15:20:39.13
1;350;0:00:00.00
1;351;0:00:00.00
1;352;0:00:00.00

1;301;14:53:41.56
1;303;0:00:00.00
1;308;14:46:34.57
1;310;0:00:00.00
1;311;14:53:00.81
1;312;0:00:00.00
1;314;15:07:36.40
1;317;15:17:29.54
1;319;0:00:00.00
1;321;15:13:06.91
1;322;15:01:07.07
1;323;0:00:00.00
1;327;16:00:48.69
1;330;15:35:22.62
1;331;15:25:54.31
1;335;15:28:34.42
1;337;15:23:01.06
1;338;0:00:00.00
1;339;15:46:15.79
1;340;15:57:44.16
1;341;15:28:46.17
1;342;15:40:36.00
1;347;15:49:57.21
1;348;15:20:39.13
1;350;0:00:00.00
1;351;0:00:00.00
1;352;0:00:00.00

301;14:53:41.56
303;0:00:00.00
308;14:46:34.57
310;0:00:00.00
311;14:53:00.81
312;0:00:00.00
314;15:07:36.40
317;15:17:29.54
319;0:00:00.00
321;15:13:06.91
322;15:01:07.07
323;0:00:00.00
327;16:00:48.69
330;15:35:22.62
331;15:25:54.31
335;15:28:34.42
337;15:23:01.06
338;0:00:00.00
339;15:46:15.79
340;15:57:44.16
341;15:28:46.17
342;15:40:36.00
347;15:49:57.21
348;15:20:39.13
350;0:00:00.00
351;0:00:00.00
352;0:00:00.00

