1;11:06:44.48
2;11:17:27.59
3;0:00:00.00
4;11:49:09.52
5;0:00:00.00
6;11:22:58.65
7;11:22:50.88
8;12:11:31.52
9;11:10:05.60
10;12:18:02.59
11;11:41:04.30
12;0:00:00.00
13;0:00:00.00
14;11:49:17.88
15;11:32:24.95
16;11:23:35.73
17;12:17:03.72
18;12:11:36.22
19;11:52:36.31
20;12:13:58.85
21;11:14:33.35
22;0:00:00.00
23;12:02:39.28
25;12:18:38.28
26;11:49:47.89
27;11:51:15.48
28;12:22:21.82
29;12:03:21.68
30;11:56:02.01
31;12:31:43.91
32;0:00:00.00
33;12:16:16.75
34;0:00:00.00
35;0:00:00.00
36;12:22:17.20
38;11:59:59.38
39;12:03:37.28
40;12:31:53.46
100;11:55:37.91
101;12:48:07.57
102;12:31:18.62
103;12:12:41.43
104;0:00:00.00
105;0:00:00.00
106;0:00:00.00

